api_url,date,tags
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-4b-hf-2.html,03-04-2025_0721, glide-xanadu-07-02-2024__patch4b-hotfix2-02-27-2025
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-4b-hf-1-PO.html,02-23-2025_2130,glide-xanadu-07-02-2024__patch4b-hotfix1-02-20-2025
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-8-hf-2-PO.html,04-23-2025_2116,glide-xanadu-07-02-2024__patch8-hotfix2-04-23-2025
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-7-hf-1-PO.html,04-02-2025_1342, glide-xanadu-07-02-2024__patch7-hotfix1-04-01-2025
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-0-hf-1-PO.html,08-27-2024_1527,glide-xanadu-07-02-2024__patch0-hotfix1-08-26-2024
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-all-other-fixes.html,07-27-2024_1019,glide-xanadu-07-02-2024__patch0-07-16-2024
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-5-hf-2-PO.html,03-02-2025_0728,glide-xanadu-07-02-2024__patch5-hotfix2-02-27-2025
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-2-hf-2-PO.html,11-23-2024_0851,glide-xanadu-07-02-2024__patch2-hotfix2-11-20-2024
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-11.html,12-07-2025_2348,glide-xanadu-07-02-2024__patch11-11-27-2025
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-4-hf-2-PO.html,12-30-2024_1144,glide-xanadu-07-02-2024__patch4-hotfix2-12-27-2024
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-6-hf-1-PO.html,_03-28-2025_0050,glide-xanadu-07-02-2024__patch6-hotfix1-03-24-2025
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-4-hf-1-PO.html,12-10-2024_0716,glide-xanadu-07-02-2024__patch4-hotfix1-12-06-2024
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-3-hf-2.html,12-05-2024_2307,glide-xanadu-07-02-2024__patch3-hotfix2-12-04-2024
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-3-hf-1.html,11-19-2024_1208,glide-xanadu-07-02-2024__patch3-hotfix1-11-13-2024
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-1-hf-3-PO.html,10-23-2024_0647,glide-xanadu-07-02-2024__patch1-hotfix3-10-21-2024
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-3.html,11-01-2024_2230,glide-xanadu-07-02-2024__patch3-10-23-2024
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-9a-hf-1-PO.html,08-03-2025_1126,glide-xanadu-07-02-2024__patch9a-hotfix1-07-27-2025
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-security-notables.html,07-27-2024_1019,glide-xanadu-07-02-2024__patch0-07-16-2024
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-4.html,12-02-2024_1408,glide-xanadu-07-02-2024__patch4-11-22-2024
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-9.html,06-04-2025_0434,glide-xanadu-07-02-2024__patch9-05-21-2025
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-6-hf-2-PO.html,04-07-2025_0716,glide-xanadu-07-02-2024__patch6-hotfix2-04-01-2025
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-7.html,03-06-2025_0935,glide-xanadu-07-02-2024__patch7-02-27-2025
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-5-hf-1-PO.html,01-24-2025_0005,glide-xanadu-07-02-2024__patch5-hotfix1-01-21-2025
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-1.html,09-01-2024_1853,glide-xanadu-07-02-2024__patch1-08-24-2024
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-9-hf-1-PO.html,06-13-2025_1945,glide-xanadu-07-02-2024__patch9-hotfix1-06-13-2025
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-7b-hf-1.html,05-22-2025_2350,glide-xanadu-07-02-2024__patch7b-hotfix1-05-20-2025
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-10.html,08-21-2025_1913,glide-xanadu-07-02-2024__patch10-08-08-2025
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-6.html,02-11-2025_1128,glide-xanadu-07-02-2024__patch6-01-29-2025
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-2.html,10-06-2024_2304,glide-xanadu-07-02-2024__patch2-09-25-2024
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-8-hf-3-PO.html,05-05-2025_2003,glide-xanadu-07-02-2024__patch8-hotfix3-05-02-2025
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-7a-hf-1-PO.html,05-06-2025_1203,glide-xanadu-07-02-2024__patch7a-hotfix1-04-27-2025
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-8.html,04-03-2025_0833,glide-xanadu-07-02-2024__patch8-03-26-2025
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-5.html,12-31-2024_0455,glide-xanadu-07-02-2024__patch5-12-24-2024_
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-8-hf-1-PO.html,04-14-2025_2301,glide-xanadu-07-02-2024__patch8-hotfix1-04-10-2025
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-1-hf-3b.html,11-25-2024_0807,glide-xanadu-07-02-2024__patch1-hotfix3b-11-14-2024
https://servicenow-be-prod.servicenow.com/api/bundle/xanadu-release-notes/page/release-notes/quality/xanadu-patch-1-hf-1.html,10-01-2024_0622,glide-xanadu-07-02-2024__patch1-hotfix1-09-27-2024
